0.00,12.00
6.00,0.00
12.00,0.00
0.00,59.00
0.00,12.00
0.00,12.00
12.00,0.00
23.00,0.00
12.00,0.00
0.00,12.00
12.00,0.00
1.00,2.00
0.00,23.00
12.00,0.00
0.00,0.00
0.00,23.00
0.00,12.00
0.00,12.00
0.00,23.00
0.00,12.00
12.00,0.00
0.00,12.00
23.00,0.00
0.00,12.00
0.00,12.00
12.00,0.00
0.00,0.00
0.00,12.00
0.00,12.00
0.00,0.00
12.00,0.00
33.00,0.00
84.00,0.00
12.00,0.00
0.00,23.00
0.00,12.00
6.00,2.00
0.00,23.00
12.00,0.00
0.00,0.00
0.00,12.00
12.00,0.00
12.00,0.00
42.00,0.00
0.00,51.00
12.00,0.00
42.00,0.00
12.00,0.00
12.00,0.00
12.00,0.00
0.00,12.00
0.00,23.00
0.00,12.00
12.00,0.00
0.00,12.00
12.00,0.00
12.00,0.00
6.00,2.00
2.00,1.00
0.00,12.00
0.00,12.00
0.00,12.00
0.00,23.00
0.00,23.00
0.00,23.00
0.00,33.00
0.00,0.00
12.00,0.00
3.00,44.00
1.00,2.00
2.00,1.00
23.00,0.00
0.00,12.00
23.00,0.00
1.00,0.00
0.00,12.00
23.00,0.00
1.00,2.00
0.00,12.00
0.00,23.00
12.00,0.00
0.00,23.00
0.00,12.00
0.00,0.00
0.00,12.00
12.00,0.00
0.00,12.00
23.00,0.00
12.00,0.00
0.00,12.00
0.00,0.00
12.00,0.00
0.00,23.00
14.00,2.00
12.00,0.00
0.00,23.00
12.00,0.00
0.00,12.00
0.00,0.00
0.00,12.00
12.00,4.00
0.00,42.00
12.00,0.00
0.00,12.00
12.00,0.00
0.00,84.00
0.00,33.00
12.00,0.00
12.00,0.00
0.00,12.00
0.00,12.00
42.00,0.00
12.00,0.00
12.00,0.00
42.00,0.00
12.00,0.00
0.00,12.00
0.00,12.00
1.00,2.00
0.00,0.00
0.00,59.00
0.00,12.00
0.00,12.00
0.00,12.00
23.00,0.00
0.00,73.00
2.00,1.00
12.00,0.00
23.00,0.00
12.00,0.00
23.00,0.00
0.00,12.00
33.00,0.00
23.00,0.00
23.00,0.00
12.00,0.00
2.00,1.00
33.00,0.00
12.00,0.00
23.00,0.00
23.00,0.00
0.00,12.00
0.00,12.00
2.00,1.00
0.00,33.00
0.00,12.00
51.00,0.00
0.00,12.00
0.00,0.00
0.00,33.00
0.00,0.00
12.00,0.00
0.00,12.00
0.00,12.00
0.00,23.00
2.00,1.00
0.00,12.00
0.00,12.00
0.00,33.00
2.00,1.00
12.00,0.00
23.00,0.00
12.00,0.00
0.00,0.00
23.00,0.00
0.00,0.00
0.00,12.00
12.00,0.00
0.00,12.00
0.00,23.00
0.00,12.00
0.00,0.00
0.00,12.00
0.00,0.00
0.00,23.00
12.00,0.00
0.00,0.00
0.00,23.00
23.00,0.00
1.00,23.00
2.00,1.00
23.00,0.00
0.00,12.00
0.00,12.00
12.00,0.00
0.00,0.00
0.00,12.00
2.00,10.00
0.00,12.00
12.00,0.00
12.00,0.00
0.00,12.00
0.00,12.00
0.00,12.00
12.00,0.00
0.00,33.00
12.00,0.00
0.00,12.00
23.00,0.00
0.00,12.00
23.00,0.00
0.00,0.00
0.00,23.00
12.00,0.00
12.00,0.00
12.00,0.00
0.00,0.00
12.00,0.00
0.00,12.00
12.00,0.00
12.00,0.00
0.00,23.00
23.00,0.00
12.00,0.00
12.00,0.00
95.00,0.00
12.00,4.00
0.00,12.00
42.00,0.00
